time,value
1543210847, 451184.556
1543214446, 437554.769
1543218046, 452881.577
1543221646, 456447.284
1543225246, 453489.133
1543228847, 456545.005
1543232446, 455194.763
1543236047, 452886.623
1543239647, 456648.675
1543243246, 454114.157
1543246846, 454973.354
1543250446, 450103.247
1543254046, 447929.030
1543257646, 434151.964
1543261248, 454237.492
1543264847, 455593.503
1543266587, 462544.889
1543266647, 460592.903
1543266767, 464175.819
1543267129, 459721.107
1543270728, 460458.266
1543274328, 460095.886
1543277928, 460210.409
1543281528, 460987.909
1543285128, 461194.684
1543288728, 459998.078
1543292328, 460479.864
1543295928, 460020.921
1543299529, 458779.353
1543300609, 460426.157
1543304209, 458170.751
1543307809, 460179.139
1543311408, 456931.501
1543315009, 460782.687
1543318609, 458489.935
1543322209, 459255.582
1543325810, 459707.450
1543329408, 456358.728
1543333008, 458375.043
1543336609, 460969.546
1543340209, 450966.518
1543343809, 459702.296
1543347409, 457525.610
1543351009, 456848.912
1543354609, 457462.160
1543355868, 459663.602
1543355928, 459181.785
1543355990, 458722.290
